"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","bill_id","_dlt_load_id","_dlt_id"
19319,"uveue5je","2",43,"R",1,"Rep","Briscoe Cain","Briscoe","","Cain","","","HD-128",15805398,147702,"",478717,"Briscoe_Cain","",1,1,0,0,0,1891604,"1739840753.685618","8oSSJlFZ1pegDw"
25226,"zet269w5","1",43,"D",1,"Rep","Cassandra Garcia Hernandez","Cassandra","","Garcia Hernandez","","","HD-115",59509796,201253,"",0,"Cassandra_Garcia_Hernandez","",1,1,0,0,0,1891486,"1739840753.685618","a6GHH88mt/VTDA"
15409,"tcapdway","2",43,"R",1,"Rep","Steve Toth","Steve","","Toth","","","HD-015",11022454,138323,"",405730,"Steve_Toth","",1,1,0,0,0,1891754,"1739840753.685618","jb94d6AtTojb4g"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,1890527,"1739840753.685618","JyVuwcyG0ys2Ag"
18674,"8goph8xh","1",43,"D",1,"Rep","Gina Hinojosa","Gina","","Hinojosa","","","HD-049",27885110,166708,"",562521,"Gina_Hinojosa","",1,1,0,0,0,1890690,"1739840753.685618","Ad50iTtO6HbmuQ"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,1891474,"1739840753.685618","u/VW6UIkHQhnDQ"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,1890407,"1739840753.685618","DqeuwhWYGW6XLw"
5944,"l31mwotf","1",43,"D",1,"Rep","Trey Martinez Fischer","Trey","","Martinez Fischer","III","","HD-116",6386920,49471,"",290576,"Trey_Martinez_Fischer","",1,1,0,0,0,1890654,"1739840753.685618","Cup2UpBJTgC9sA"
25231,"onfmjesi","2",43,"R",1,"Rep","Andy Hopper","Andy","","Hopper","","","HD-064",54452088,195311,"",0,"Andy_Hopper","",1,1,0,0,0,1891841,"1739840753.685618","DEvXfRC3CJEaPA"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,1,0,0,0,1892158,"1739840753.685618","9DkreIh7d3JLNg"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,2,0,0,0,1892158,"1739840753.685618","p2PLe9fWd7SDDw"
22433,"mmm9fm5l","1",43,"D",1,"Rep","Ann Johnson","Ann","","Johnson","","","HD-134",10238392,137792,"",406424,"Ann_Johnson","",1,1,0,0,0,1894318,"1739840753.685618","Wvj7lE310jCZQg"
22437,"g5ej35ph","1",43,"D",1,"Rep","Penny Morales Shaw","Penny","","Morales Shaw","","","HD-148",48021758,187381,"",725614,"Penny_Morales_Shaw","",1,1,0,0,0,1895981,"1739840753.685618","Lr8W0sdf/CeFbQ"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,1896917,"1739840753.685618","e9xKul5VXsWTsg"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,2,0,0,0,1896917,"1739840753.685618","JyuRfDROlr72rQ"
23190,"trr3u2j1","2",43,"R",1,"Rep","Nate Schatzline","Nate","","Schatzline","","","HD-093",54452168,201380,"",0,"Nate_Schatzline","",1,1,0,0,0,1897297,"1739840753.685618","DziH0L3EswBUfQ"
