"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
23184,"doy1x7sn","1",43,"D",1,"Rep","Mihaela Plesa","Mihaela","Elizabeth","Plesa","","","HD-070",54452111,201252,"",0,"Mihaela_Plesa","",1,1,0,0,0,"vw9/umqCQfoLew","vw9/umqCQfoLew",0,"ASspi1pu/kciTQ"
5944,"l31mwotf","1",43,"D",1,"Rep","Trey Martinez Fischer","Trey","","Martinez Fischer","III","","HD-116",6386920,49471,"",290576,"Trey_Martinez_Fischer","",1,1,0,0,0,"Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",0,"ny/vLVB8uqFT4g"
25231,"onfmjesi","2",43,"R",1,"Rep","Andy Hopper","Andy","","Hopper","","","HD-064",54452088,195311,"",0,"Andy_Hopper","",1,1,0,0,0,"BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",0,"onw/Wuh7eCCrsg"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,1,0,0,0,"lt7FTxnra3HoBA","lt7FTxnra3HoBA",0,"ZFB00Fax32U4WA"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,2,0,0,0,"lt7FTxnra3HoBA","lt7FTxnra3HoBA",1,"YToUJVuvpSbQFg"
22433,"mmm9fm5l","1",43,"D",1,"Rep","Ann Johnson","Ann","","Johnson","","","HD-134",10238392,137792,"",406424,"Ann_Johnson","",1,1,0,0,0,"LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",0,"SCWxmxQBbw5NRg"
22437,"g5ej35ph","1",43,"D",1,"Rep","Penny Morales Shaw","Penny","","Morales Shaw","","","HD-148",48021758,187381,"",725614,"Penny_Morales_Shaw","",1,1,0,0,0,"lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",0,"Qg2m1ehgje9khg"
17984,"uea4tasd","2",43,"R",1,"Rep","Tom Oliverson","Tom","","Oliverson","","","HD-130",37969838,166520,"",561164,"Tom_Oliverson","",1,1,0,0,0,"zIDCUESFgH4QzQ","zIDCUESFgH4QzQ",0,"PcJ3YbNolo1Lxg"
25225,"j2ubd4c5","2",43,"R",1,"Rep","Pat Curry","Pat","","Curry","","","HD-056",59509708,213389,"",0,"Pat_Curry","",1,2,0,0,0,"zIDCUESFgH4QzQ","zIDCUESFgH4QzQ",1,"GPWAP11vXYhTMw"
23190,"trr3u2j1","2",43,"R",1,"Rep","Nate Schatzline","Nate","","Schatzline","","","HD-093",54452168,201380,"",0,"Nate_Schatzline","",1,1,0,0,0,"F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",0,"yYNmGIoZpls/VQ"
